gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,2,4096,6144,ck,8,0,20.8198,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.83,1210.12,0.0
gfx942,304,4,4096,6144,ck,8,0,21.0107,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.58,1200.49,0.0
gfx942,304,8,4096,6144,ck,8,0,21.1419,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.05,1195.75,0.0
gfx942,304,16,4096,6144,ck,8,0,21.3758,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.67,1188.04,0.0
gfx942,304,32,4096,6144,ck,8,0,21.1903,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,76.01,1209.26,0.0
gfx942,304,40,4096,6144,ck,8,0,21.2569,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,94.71,1210.87,0.0
gfx942,304,48,4096,6144,ck,8,0,21.2238,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,113.83,1218.16,0.0
gfx942,304,56,4096,6144,ck,8,0,21.0027,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,134.2,1236.44,0.0
gfx942,304,64,4096,6144,ck,8,0,21.4737,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,150.01,1214.66,0.0
gfx942,304,72,4096,6144,ck,13,0,28.1191,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,128.88,931.68,0.0
gfx942,304,80,4096,6144,ck,13,0,28.9977,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,138.86,907.41,0.0
gfx942,304,96,4096,6144,ck,13,0,28.7266,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,168.2,923.95,0.0
gfx942,304,104,4096,6144,ck,13,0,29.3182,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,178.54,909.22,0.0
gfx942,304,112,4096,6144,ck,13,0,29.7151,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,189.71,900.94,0.0
gfx942,304,128,4096,6144,ck,18,0,26.8122,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,240.28,1007.04,0.0
gfx942,304,136,4096,6144,ck,18,0,31.1958,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,219.42,869.2,0.0
gfx942,304,144,4096,6144,ck,18,0,31.4656,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,230.34,865.4,0.0
gfx942,304,160,4096,6144,ck,18,0,31.2447,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,257.74,878.86,0.0
gfx942,304,176,4096,6144,ck,18,0,32.834,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,269.79,843.3,0.0
gfx942,304,184,4096,6144,ck,18,0,32.1163,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,288.36,865.72,0.0
gfx942,304,192,4096,6144,ck,18,0,28.8825,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,334.59,966.62,0.0
gfx942,304,200,4096,6144,ck,3,0,35.8818,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,280.54,781.26,0.0
gfx942,304,208,4096,6144,ck,3,0,36.7199,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,285.1,766.55,0.0
gfx942,304,216,4096,6144,ck,18,0,35.1257,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,309.51,804.61,0.0
gfx942,304,224,4096,6144,ck,18,0,34.9152,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,322.9,812.74,0.0
gfx942,304,232,4096,6144,ck,18,0,36.9507,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,316.01,771.08,0.0
gfx942,304,240,4096,6144,ck,18,0,36.5902,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,330.13,781.81,0.0
gfx942,304,256,4096,6144,ck,18,0,33.3151,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,386.76,865.55,0.0
gfx942,304,272,4096,6144,ck,3,0,44.5226,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,307.49,652.82,0.0
gfx942,304,288,4096,6144,ck,12,0,45.939,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,315.54,637.68,0.0
gfx942,304,304,4096,6144,ck,3,0,50.2435,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,304.53,587.62,0.0
